ExperienceID,PropertyID,Name,Category,Description,Price,Duration,Available
EXP-P-005-DIN-004,P-005,Smoky Private Dining Experience,Dining,Smoky Private Dining Experience — a curated dining offering at Contoso Gatlinburg.,204.33,90 min,1
EXP-P-005-DIN-005,P-005,Smoky Sunday Brunch Buffet,Dining,Smoky Sunday Brunch Buffet — a curated dining offering at Contoso Gatlinburg.,194.96,2 hours,1
EXP-P-005-DIN-006,P-005,Smoky Cocktail & Tapas Hour,Dining,Smoky Cocktail & Tapas Hour — a curated dining offering at Contoso Gatlinburg.,354.78,2 hours,1
EXP-P-005-DIN-007,P-005,Smoky Seasonal Farm Dinner,Dining,Smoky Seasonal Farm Dinner — a curated dining offering at Contoso Gatlinburg.,150.78,3 hours,1
EXP-P-005-DIN-008,P-005,Smoky In-Room Romance Package,Dining,Smoky In-Room Romance Package — a curated dining offering at Contoso Gatlinburg.,398.62,3 hours,1
EXP-P-005-ACT-001,P-005,Smoky Adventure Package,Activity,Smoky Adventure Package — a curated activity offering at Contoso Gatlinburg.,55.75,3 hours,1
EXP-P-005-ACT-002,P-005,Smoky Nature Walk & Tour,Activity,Smoky Nature Walk & Tour — a curated activity offering at Contoso Gatlinburg.,198.35,2 hours,1
EXP-P-005-ACT-003,P-005,Smoky Photography Experience,Activity,Smoky Photography Experience — a curated activity offering at Contoso Gatlinburg.,235.72,3 hours,1
EXP-P-005-ACT-004,P-005,Smoky Guided Excursion,Activity,Smoky Guided Excursion — a curated activity offering at Contoso Gatlinburg.,112.55,2 hours,1
EXP-P-005-ACT-005,P-005,Smoky Outdoor Fitness Session,Activity,Smoky Outdoor Fitness Session — a curated activity offering at Contoso Gatlinburg.,205.18,3 hours,1
EXP-P-005-ACT-006,P-005,Smoky Local Cultural Tour,Activity,Smoky Local Cultural Tour — a curated activity offering at Contoso Gatlinburg.,118.25,Full day,1
EXP-P-005-ACT-007,P-005,Smoky Evening Stargazing,Activity,Smoky Evening Stargazing — a curated activity offering at Contoso Gatlinburg.,285.25,2 hours,1
EXP-P-005-ACT-008,P-005,Smoky Half-Day Exploration,Activity,Smoky Half-Day Exploration — a curated activity offering at Contoso Gatlinburg.,225.25,Half day,1
EXP-P-005-KID-001,P-005,Smoky Kids Club Day Pass,Kids,Smoky Kids Club Day Pass — a curated kids offering at Contoso Gatlinburg.,25.95,60 min,1
EXP-P-005-KID-002,P-005,Smoky Junior Chef Workshop,Kids,Smoky Junior Chef Workshop — a curated kids offering at Contoso Gatlinburg.,66.9,2 hours,1
EXP-P-005-KID-003,P-005,Smoky Kids Movie Night,Kids,Smoky Kids Movie Night — a curated kids offering at Contoso Gatlinburg.,73.29,All day,1
EXP-P-005-KID-004,P-005,Smoky Treasure Hunt Adventure,Kids,Smoky Treasure Hunt Adventure — a curated kids offering at Contoso Gatlinburg.,66.52,2 hours,1
EXP-P-005-KID-005,P-005,Smoky Arts & Crafts Studio,Kids,Smoky Arts & Crafts Studio — a curated kids offering at Contoso Gatlinburg.,112.9,All day,1
EXP-P-005-KID-006,P-005,Smoky Mini Spa for Kids,Kids,Smoky Mini Spa for Kids — a curated kids offering at Contoso Gatlinburg.,63.19,90 min,1
EXP-P-005-KID-007,P-005,Smoky Kids' Birthday Experience,Kids,Smoky Kids' Birthday Experience — a curated kids offering at Contoso Gatlinburg.,37.59,2 hours,1
EXP-P-005-KID-008,P-005,Smoky Family Scavenger Hunt,Kids,Smoky Family Scavenger Hunt — a curated kids offering at Contoso Gatlinburg.,84.39,60 min,1
EXP-P-005-WEL-001,P-005,Smoky Sunrise Yoga Session,Wellness,Smoky Sunrise Yoga Session — a curated wellness offering at Contoso Gatlinburg.,60.39,75 min,1
EXP-P-005-WEL-002,P-005,Smoky Meditation & Mindfulness,Wellness,Smoky Meditation & Mindfulness — a curated wellness offering at Contoso Gatlinburg.,61.56,75 min,1
EXP-P-005-WEL-003,P-005,Smoky Pilates Studio Class,Wellness,Smoky Pilates Studio Class — a curated wellness offering at Contoso Gatlinburg.,122.45,75 min,1
EXP-P-005-WEL-004,P-005,Smoky Sound Bath Experience,Wellness,Smoky Sound Bath Experience — a curated wellness offering at Contoso Gatlinburg.,145.11,75 min,1
EXP-P-005-WEL-005,P-005,Smoky Guided Breathwork,Wellness,Smoky Guided Breathwork — a curated wellness offering at Contoso Gatlinburg.,147.07,45 min,1
EXP-P-005-WEL-006,P-005,Smoky Nutrition Workshop,Wellness,Smoky Nutrition Workshop — a curated wellness offering at Contoso Gatlinburg.,113.06,45 min,1
EXP-P-005-WEL-007,P-005,Smoky Forest Bathing Walk,Wellness,Smoky Forest Bathing Walk — a curated wellness offering at Contoso Gatlinburg.,88.68,45 min,1
EXP-P-005-WEL-008,P-005,Smoky Recovery & Stretch Class,Wellness,Smoky Recovery & Stretch Class — a curated wellness offering at Contoso Gatlinburg.,143.59,45 min,1
